,occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,lng,lat,age
7208,25784,occ,,,90534,Stelidioseris minima,species,147969.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7209,25785,occ,,,90535,Stelidioseris whitneyi,species,106822.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7210,25786,occ,,,90542,Eocolumastrea gortanii,species,395137.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7211,25787,occ,,,90535,Columastrea,genus,6266.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7212,25788,occ,,,90535,Eugyra borrachensis,species,117341.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7213,25789,occ,,,90541,Myriophyllia,genus,6639.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7214,25790,occ,,,90531,Isastrea whitneyi,species,148121.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7215,25791,occ,,,90535,Siderofungia irregularis,species,137760.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7216,25792,occ,,,90544,Meandrophyllia cariacoensis,species,117338.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7217,25793,occ,,,90535,Phacellocoenia tolmachoffana,species,148162.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7218,25794,occ,,,1858,Serpula,genus,7222.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7219,25795,occ,,,90544,Cidaris,genus,32791.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7220,25796,occ,,,90532,Cucullaea,genus,16224.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7221,25797,occ,,,90532,Gervillia,genus,16679.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7222,25798,occ,,,1858,Exogyra,genus,16655.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7223,25799,occ,,,90533,Trigonia,genus,17287.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7224,25800,occ,,F,90533,Notoscabrotrigonia tocaimaana,species,398386.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7225,25801,occ,,,90536,Pholadomya,genus,18795.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7226,25802,occ,,,90543,Epicyprina,genus,17628.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7227,25803,occ,,,90533,Cardita,genus,17441.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7228,25804,occ,,,90531,Amphitriscoelus waringi,species,163186.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7229,25805,occ,,,1858,Sphaera corrugata,species,323162.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
7230,25806,occ,,,90532,Panopea,genus,61583.0,Barremian,,129.4,125.0,49,-63.546944,8.964167,130.0
